route,week,sales,level_shifts,season_negative,season_positive,route4_out1,route6_sdum1,route6_sdum2,route6_sdum3,total_price,reg_price,tpr,temp_dep,yt_views,yt_views_1,paid_search_imps,display_imps,email_open,tv,tv_1,tv_2,tv_3,tv_4,tv_5,ooh_1,news,news_1,news_2,radio,radio_1,radio_2,total_mag,total_mag_1,total_mag_2,departures,comp1_ooh,comp2_tv,comp2_tmag_1,comp3_tv_1
ROUTE3,2013-23,1146,0.007560062,0,0.122425482,0,0,0,0,-0.291791609,-0.253899335,0.036437125,0,0.596111375,0.745439192,1.34957029,0,0.56416793,0,0,3.154995218,3.154995218,0,0,1.4238,3.8547,0,4.1756,0,0,3.034,2.39337993,3.76845532,2.95524333,0.024097551,1.311,7.6,1.822,0.807
ROUTE3,2013-24,969.0000001,7.55E-05,0,0.078528091,0,0,0,0,-0.255354485,-0.253899335,0,0,0.541996177,0.596111375,1.39908736,0,0.56416793,0,0,0,3.154995218,3.154995218,0,1.4238,0,3.8547,0,0,0,0,0,2.39337993,3.76845532,0.024097551,1.311,0,0,0.807
ROUTE3,2013-25,913.0000004,0,-0.009934556,0,0,0,0,0,-0.320054635,-0.253899335,0.064700151,0,0.642925742,0.541996177,1.35359235,0,0.56416793,0.557353058,0,0,0,3.154995218,3.154995218,1.4238,0,0,3.8547,0,0,0,0.965081943,0,2.39337993,0.024097551,1.311,0,1.021,0.115
ROUTE3,2013-26,890.0000002,0,-0.065636496,0,0,0,0,0,-0.372924316,-0.253899335,0.117569831,0,1.558969224,0.642925742,1.40720678,0,0.56416793,0.557353058,0.557353058,0,0,0,3.154995218,0.8173,2.0299,0,0,0,0,0,1.67618516,0.965081943,0,0.024097551,1.311,0,0,0
ROUTE3,2013-27,809,0.005030755,-0.147332339,0,0,0,0,0,-0.316900825,-0.253899335,0.06154634,0,0.547450736,1.558969224,1.01393687,0,0.45824685,0.586349738,0.557353058,0.557353058,0,0,0,0.8173,0,2.0299,0,0,0,0,3.96048314,1.67618516,0.965081943,0.024097551,0.699,0,0,0
ROUTE3,2013-28,946,0.017094906,-0.074848858,0,0,0,0,0,-0.359958956,-0.253899335,0.104604471,0,0.704059214,0.547450736,1.29863722,0,0.41252365,0.586349738,0.586349738,0.557353058,0.557353058,0,0,0.8173,0,0,2.0299,0,0,0,0,3.96048314,1.67618516,0.024097551,0.287,0,2,4.805
ROUTE3,2013-29,962.0000003,0.028507846,-0.118776538,0,0,0,0,0,-0.340805494,-0.253899335,0.085451009,0,0.670558544,0.704059214,1.22048774,0,0.41252365,0,0.586349738,0.586349738,0.557353058,0.557353058,0,0.8173,0,0,0,0,0,0,1.77618912,0,3.96048314,0.024097551,0.287,0,0,4.383
ROUTE3,2013-30,906,0.029882871,-0.103787364,0,0,0,0,0,-0.351776973,-0.253899335,0.096422489,0,0.64457251,0.670558544,1.19727714,0,0.41252365,0,0,0.586349738,0.586349738,0.557353058,0.557353058,0.4506,0,0,0,0,0,0,1.67685922,1.77618912,0,0.024097551,0.287,0,1.714,4.86
ROUTE3,2013-31,844.9999997,0.032686297,-0.181735838,0,0,0,0,0,-0.416469871,-0.253899335,0.161115386,0,0.582198107,0.64457251,1.27164798,0,0.38483896,0,0,0,0.586349738,0.586349738,0.557353058,0.4506,1.3368,0,0,0,0,0,1.59482718,1.67685922,1.77618912,0.024097551,0.245,0,0,0
ROUTE3,2013-32,1020,0.041007831,-0.02529728,0,0,0,0,0,-0.310215654,-0.253899335,0.05486117,0,0.502483717,0.582198107,1.24539634,0,0.31207613,0,0,0,0,0.586349738,0.586349738,0.4506,1.3368,1.3368,0,0,0,0,0,1.59482718,1.67685922,0.024097551,0.133,4.466,2.183,5.842
ROUTE3,2013-33,1017,0.036751395,-0.021056433,0,0,0,0,0,-0.336337457,-0.253899335,0.080982972,0,0.496300582,0.502483717,1.17916568,0,0.31207613,2.220971298,0,0,0,0,0.586349738,0.4506,0,1.3368,1.3368,2.4018,0,0,0,0,1.59482718,0.024097551,0.133,6.217,0,5.368
ROUTE3,2013-34,1004,0.031521606,-0.044874449,0,0,0,0,0,-0.359660267,-0.253899335,0.104305782,0,0.554677506,0.496300582,1.60722688,0,0.31207613,2.220971298,2.220971298,0,0,0,0,0.4506,0,0,1.3368,2.4018,2.4018,0,0,0,0,0.024097551,0.133,5.676,2.29,5.66
ROUTE3,2013-35,981.0000004,0.026162983,0,0.019894793,0,0,0,0,-0.256884377,-0.253899335,0.001529893,0,0.414825551,0.554677506,2.14308087,0,0.31207613,2.220971298,2.220971298,2.220971298,0,0,0,0.4506,1.3368,0,0,2.4018,2.4018,2.4018,3.15119629,0,0,0.024097551,0.133,6.378,0,5.551
ROUTE3,2013-36,1098,0.024628701,0,0.126951498,0,0,0,0,-0.238516081,-0.237060931,0,0,1.020396542,0.414825551,1.99908506,0,0.48572018,2.810967148,2.220971298,2.220971298,2.220971298,0,0,0.4506,4.1763,1.3368,0,2.1502,2.4018,2.4018,1.159113251,3.15119629,0,0.024097551,1.207,6.042,2.277,5.775
ROUTE3,2013-37,1190,0.018431769,0,0.20030923,0,0,0,0,-0.22229057,-0.22083542,0,0,0.356753311,1.020396542,2.00977847,0,0.51194072,2.895540918,2.810967148,2.220971298,2.220971298,2.220971298,0,0.4506,4.1756,4.1763,1.3368,2.1502,2.1502,2.4018,1.63254399,1.159113251,3.15119629,0.024097551,1.311,5.496,0,6.559
ROUTE3,2013-38,1137,0.009236308,0,0.172996261,0,0,0,0,-0.173640388,-0.172185238,0,0,0.616624915,0.356753311,2.20999367,0,0.51194072,3.307234688,2.895540918,2.810967148,2.220971298,2.220971298,2.220971298,2.4705,4.8979,4.1756,4.1763,2.9771,2.1502,2.1502,2.36965325,1.63254399,1.159113251,0.024097551,1.311,8.395,1.549,5.703
ROUTE3,2013-39,1089,0,0,0.112141268,0,0,0,0,-0.234651235,-0.172185238,0.061010847,0,0.475571953,0.616624915,2.31298497,0,0.51194072,3.176639248,3.307234688,2.895540918,2.810967148,2.220971298,2.220971298,2.4806,0,4.8979,4.1756,2.9356,2.9771,2.1502,1.63643157,2.36965325,1.63254399,0.024097551,1.311,7.591,0,2.57
ROUTE3,2013-40,1187,0,0,0.17438554,0,0,0,0,-0.252662782,-0.172185238,0.079022394,0,0.600419869,0.475571953,2.33334622,0,0.40869303,3.150863478,3.176639248,3.307234688,2.895540918,2.810967148,2.220971298,2.4806,4.0785,0,4.8979,3.0357,2.9356,2.9771,4.18452977,1.63643157,2.36965325,0.024097551,1.297,8.269,0,5.081
