"","var","SEGMENT","CHANNEL","para","var_group","model_var","model_name_group"
"378","SPON_TV_SKY_1","TRADE","CLICK_COLLECT",0.0035086842,"SPON_TV_SKY","SALES","sales"
"379","SPON_TV_SKY_2","TRADE","CLICK_COLLECT",0.00168989688,"SPON_TV_SKY","SALES","sales"
"380","TOOL_1","TRADE","CLICK_COLLECT",-0.00154668528,"TOOLSTATION","SALES","sales"
"381","DDROP_3","TRADE","CLICK_COLLECT",0.000616167681293556,"DOOR_DROP","SALES","sales"
"382","DM7","TRADE","CLICK_COLLECT",0.00452566538832492,"DIRECT_MAIL","SALES","sales"
"383","PR_CLIP_1","TRADE","CLICK_COLLECT",0.0026396638233966,"PR","SALES","sales"
"384","TV_ITV5","TRADE","CLICK_COLLECT",0.00233412031856388,"SPON_TV_ITV","SALES","sales"
"385","TV_SKY2_3","TRADE","CLICK_COLLECT",0.00242659205823132,"SPON_TV_SKY","SALES","sales"
"386","DDROP_1","TRADE","CONTACT_CENTRE",0.0011063950953728,"DOOR_DROP","SALES","sales"
"387","DM_3","TRADE","CONTACT_CENTRE",0.00196333889,"DIRECT_MAIL","SALES","sales"
"388","NAT_PRESS","TRADE","CONTACT_CENTRE",0.000872358116796048,"NATIONAL_PRESS","SALES","sales"
"389","NAT_PRESS_1","TRADE","CONTACT_CENTRE",0.00038220314,"NATIONAL_PRESS","SALES","sales"
"390","NAT_RADIO_1","TRADE","CONTACT_CENTRE",0.00018880704,"NATIONAL_RADIO","SALES","sales"
"391","PS_BG_IMPS","TRADE","CONTACT_CENTRE",0.0465265126,"paid_search","SALES","sales"
"392","SPON_TV_SKY","TRADE","CONTACT_CENTRE",0.0002392867,"SPON_TV_SKY","SALES","sales"
"393","YT_SFX_PRODUCT_CAT126","TRADE","CONTACT_CENTRE",0.00098599232,"YT_SFX_PRODUCT_CAT126","SALES","sales"
"394","BQ_1","TRADE","CONTACT_CENTRE",-0.00090479675,"BQ","SALES","sales"
"395","DM_2","TRADE","CONTACT_CENTRE",0.0011971157,"DIRECT_MAIL","SALES","sales"
"396","PR_CLIP","TRADE","CONTACT_CENTRE",0.00296773334,"PR","SALES","sales"
"397","REG_PRESS_3","TRADE","CONTACT_CENTRE",0.00160914622,"REGIONAL_PRESS","SALES","sales"
"398","SELCO","TRADE","CONTACT_CENTRE",-0.00256683878,"SELCO","SALES","sales"
"399","SPON_TV_SKY_1","TRADE","CONTACT_CENTRE",0.00204623265,"SPON_TV_SKY","SALES","sales"
"400","SPON_TV_SKY_2","TRADE","CONTACT_CENTRE",0.00098553246,"SPON_TV_SKY","SALES","sales"
"401","TOOL_1","TRADE","CONTACT_CENTRE",-0.00090201276,"TOOLSTATION","SALES","sales"
"402","DDROP_3","TRADE","CONTACT_CENTRE",0.000359343376453677,"DOOR_DROP","SALES","sales"
"403","DM7","TRADE","CONTACT_CENTRE",0.00263932681104939,"DIRECT_MAIL","SALES","sales"
"404","PR_CLIP_1","TRADE","CONTACT_CENTRE",0.00153942788594595,"PR","SALES","sales"
"405","TV_ITV5","TRADE","CONTACT_CENTRE",0.00136123769841521,"SPON_TV_ITV","SALES","sales"
"406","TV_SKY2_3","TRADE","CONTACT_CENTRE",0.00141516637427319,"SPON_TV_SKY","SALES","sales"
"407","DDROP_1","TRADE","TRADE_COUNTER",0.000981861334025186,"DOOR_DROP","SALES","sales"
"408","NAT_RADIO","TRADE","TRADE_COUNTER",0.00033732906,"NATIONAL_RADIO","SALES","sales"
"409","NAT_RADIO_1","TRADE","TRADE_COUNTER",0.00054254826,"NATIONAL_RADIO","SALES","sales"
"410","PR_CLIP_2","TRADE","TRADE_COUNTER",0.00066888633,"PR","SALES","sales"
"411","REG_RADIO_2","TRADE","TRADE_COUNTER",0.00025331745,"REGIONAL_RADIO","SALES","sales"
"412","SPON_TV_SKY_1","TRADE","TRADE_COUNTER",0.0020424693,"SPON_TV_SKY","SALES","sales"
"413","DDROP_3","TRADE","TRADE_COUNTER",0.000329272792667322,"DOOR_DROP","SALES","sales"
"414","DM7","TRADE","TRADE_COUNTER",0.00241846258142454,"DIRECT_MAIL","SALES","sales"
"415","PR_CLIP_1","TRADE","TRADE_COUNTER",0.0014106054329367,"PR","SALES","sales"
"416","TV_ITV5","TRADE","TRADE_COUNTER",0.00124732656231106,"SPON_TV_ITV","SALES","sales"
"417","TV_SKY2_3","TRADE","TRADE_COUNTER",0.00129674237701134,"SPON_TV_SKY","SALES","sales"
"418","BQ_1","TRADE","TRADE_COUNTER",-0.00074291425,"BQ","SALES","sales"
"419","PR_CLIP","TRADE","TRADE_COUNTER",0.00243675874,"PR","SALES","sales"
"420","REG_PRESS_3","TRADE","TRADE_COUNTER",0.00132124442,"REGIONAL_PRESS","SALES","sales"
